Label,Category,Item,Total clicks,Contact ratio,Total contacts
kunnen-jullie-me-helpen-bij-de-installatie-en-het-gebruik-van-mijn-product,Advies en ondersteuning,Hulp bij installatie en gebruik,"1,3K","78,90%",595
hoeveel-garantie-heb-ik-op-mijn-product,Garantie en reparatie,Garantievoorwaarden,"1,2K","64,00%",500
hoe-meld-ik-online-mijn-reparatie-aan,,Reparatie aanmelden,"1,2K","55,10%",426
mijn-product-werkt-niet-goed-wat-kan-ik-doen,Advies en ondersteuning,Overig,957,"90,00%",556
extra-grote-producten-aanmelden-reparatie,Garantie en reparatie,Reparatie aanmelden,746,"56,00%",278
wat-moet-ik-doen-als-ik-mijn-pakket-niet-heb-ontvangen,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,647,"94,10%",498
waar-kan-ik-mijn-factuur-vinden,Overig,,602,"55,50%",220
kan-ik-mijn-product-laten-repareren-bij-coolblue,Garantie en reparatie,Garantievoorwaarden,516,"57,80%",193
is-reparatie-altijd-gratis,,,504,"59,00%",186
wat-als-mijn-bezorging-vertraagd-is,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,499,"78,20%",317
wat-betekent-de-voorraadstatus-tijdelijk-uitverkocht,Bestellen,Voorraad van producten,473,"30,20%",65
hoe-werkt-het-als-je-witgoed-of-keukenapparatuur-besteld-met-extra-services,Bezorgen en installeren,Bezorg- en installatieservices,459,"57,50%",135
waar-is-mijn-pakketje,,Bezorgstatus opvragen,453,"57,40%",203
ik-wil-mijn-adres-wijzigen,,Bezorging wijzigen,445,"77,40%",293
wat-als-ik-met-ideal-heb-betaald-maar-nog-geen-orderbevestiging-heb-ontvangen,Bestellen,Orderbevestiging niet ontvangen,437,"55,20%",192
het-product-dat-ik-wil-kopen-is-in-prijs-gestegen-wat-nu,,Prijs van producten,427,"52,90%",129
is-mijn-product-op-voorraad,,Voorraad van producten,416,"37,10%",70
kan-ik-mijn-bestelling-wijzigen,Bezorgen en installeren,Bezorging wijzigen,402,"71,90%",242
hoe-meld-ik-online-mijn-retour-aan,Ruilen en retourneren,Retour of omruiling aanmelden,397,"46,80%",139
hoe-meld-ik-online-mijn-reparatie-aan,Garantie en reparatie,Garantievoorwaarden,360,"51,90%",107
wat-voor-soort-garantie-heb-ik,,Overig,300,"74,20%",148
waar-is-mijn-pakketje,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,287,"80,00%",182
repareren-jullie-mijn-product-thuis-of-moet-ik-m-opsturen,Garantie en reparatie,Reparatieproces,269,"62,80%",129
hoe-lang-duurt-een-reparatie,,Reparatiestatus,264,"75,00%",179
wie-houdt-mij-op-de-hoogte-over-mijn-reparatie-coolblue-of-de-reparateur,,,253,"76,10%",169
is-reparatie-altijd-gratis,,Overig,251,"70,40%",123
wat-is-de-status-van-mijn-bestelling,Overig,,249,"89,20%",172
kan-ik-mijn-product-retourneren,Ruilen en retourneren,Retourvoorwaarden,248,"64,50%",95
ik-kan-mijn-coolbluetegoed-niet-verrekenen-wat-nu,Betalen,Kortingen en tegoeden,246,"33,10%",72
wat-voor-retourmogelijkheden-heb-ik,Ruilen en retourneren,Retourproces,242,"45,50%",79
hoe-kan-ik-betalen,Betalen,Betaalmethodes,238,"43,60%",58
op-mijn-postnl-track--trace-staat-dat-mijn-pakket-bezorgd-is-maar-ik-heb-niks-ontvangen-hoe-kan-dat,Bezorgen en installeren,Bestelling vertraagd of niet geleverd,238,"77,90%",126
hoe-kan-ik-met-ecocheques-betalen,Betalen,Betaalmethodes,231,"18,90%",21
is-reparatie-altijd-gratis,Garantie en reparatie,Kosten van reparatie,227,"73,20%",119
is-reparatie-altijd-gratis,,Reparatieproces,227,"67,10%",113
wat-is-de-status-van-mijn-retourzending,Ruilen en retourneren,Retourstatus,225,"106,20%",221
ik-wil-mijn-product-in-de-winkel-retourneren,,Retour of omruiling aanmelden,225,"62,10%",84
wat-moet-ik-doen-als-ik-mijn-bestelling-niet-heb-ontvangen,Leveren en installeren,Bestelling vertraagd of niet geleverd,224,"98,40%",183
hoe-vaak-krijg-ik-een-update-over-mijn-reparatie,Garantie en reparatie,Reparatiestatus,214,"83,80%",162
hoe-vraag-ik-een-cashback-aan,Advies en ondersteuning,Overig,214,"81,30%",123
wat-als-mijn-bezorging-vertraagd-is,Leveren en installeren,Bestelling vertraagd of niet geleverd,206,"87,00%",150
hoe-kan-ik-mijn-persoonlijke-korting-gebruiken,Betalen,Kortingen en tegoeden,203,"19,50%",34
wordt-mijn-oude-apparaat-meegenomen,Bezorgen en installeren,Bezorg- en installatieservices,200,"37,10%",40
waarom-krijg-ik-een-prijsopgave,Garantie en reparatie,Kosten van reparatie,199,"62,30%",82
ik-wil-mijn-retour-wijzigen-of-annuleren,Ruilen en retourneren,Retournering of omruiling wijzigen,195,"107,00%",187
hoe-meld-ik-online-mijn-reparatie-aan,Garantie en reparatie,Overig,188,"53,50%",60
mijn-bestelling-is-geleverd-maar-ik-heb-niet-alle-producten-ontvangen,Bezorgen en installeren,Onvolledige of beschadigde bestelling,186,"79,50%",106
wat-als-mijn-product-beschadigd-is-geleverd,,,185,"85,50%",108
wat-moet-ik-doen-om-mijn-product-te-laten-repareren,Garantie en reparatie,Reparatieproces,164,"55,20%",59
waar-is-mijn-pakketje,Leveren en installeren,Bestelling vertraagd of niet geleverd,162,"101,80%",134
kan-ik-extra-grote-producten-zoals-witgoed-en-keukenapparatuur-ook-online,Ruilen en retourneren,Retour of omruiling aanmelden,161,"62,80%",72
kan-ik-met-ecocheques-betalen,Betalen,Betaalmethodes,161,"8,70%",6
krijg-ik-na-retourneren-het-volledige-aankoopbedrag-terug,Ruilen en retourneren,Retour onjuist afgehandeld,152,"100,50%",128
hoe-snel-wordt-ik-terugbetaald-na-retourneren,,Retourstatus,151,"78,30%",107
hoe-gebruik-ik-mijn-coolbluetegoed,Betalen,Kortingen en tegoeden,151,"22,70%",30
hoe-moet-ik-mijn-product-inpakken-om-het-terug-te-sturen,Ruilen en retourneren,Retourproces,148,"62,50%",69
hoe-kan-ik-een-bestelling-plaatsen,Bestellen,Overig,140,"42,60%",36
wanneer-krijg-ik-mijn-nieuwe-product,Ruilen en retourneren,Retourstatus,131,"100,80%",117
hoe-retourneer-ik-mijn-artikelen,Overig,,130,"69,10%",55
kan-ik-mijn-product-retourneren,Ruilen en retourneren,Retourproces,126,"56,60%",47
wat-voor-retourmogelijkheden-heb-ik,,Retourvoorwaarden,126,"61,20%",44
wanneer-heeft-mijn-product-gebruikersschade,Garantie en reparatie,Overig,125,"75,20%",68
waarom-is-mijn-creditcard-betaling-afgewezen,Betalen,Betaling mislukt of geweigerd,114,"36,30%",32
wanneer-heeft-mijn-product-gebruikersschade,Garantie en reparatie,Kosten van reparatie,112,"72,50%",56
installeren-jullie-mijn-nieuwe-televisie-voor-me,Bezorgen en installeren,Bezorg- en installatieservices,111,"61,80%",37
kan-ik-mijn-factuur-wijzigen,Betalen,Factuur wijzigen,109,"60,60%",56
moet-ik-iets-betalen-voor-het-terugsturen-van-mijn-product,Garantie en reparatie,Kosten van reparatie,109,"68,70%",51
welke-producten-kan-ik-bekijken-in-de-winkel,Winkels,Voorraad en assortiment,109,"43,60%",16
kan-ik-extra-grote-producten-online-aanmelden,Garantie en reparatie,Reparatie aanmelden,107,"40,00%",30
wat-gebeurt-er-als-ik-niet-thuis-ben,Bezorgen en installeren,Bezorgstatus opvragen,106,"48,90%",44
wat-is-de-status-van-mijn-retourzending,Ruilen en retourneren,Retourproces,105,"70,20%",62
op-welke-manieren-kan-in-betalen-als-zakelijke-klant,Betalen,Betaalmethodes,104,"30,10%",19
kan-ik-mijn-bestelling-op-afspraak-laten-bezorgen,Bezorgen en installeren,Overig,104,"48,20%",33
kan-ik-mijn-bestelling-wijzigen,Bestellen,Bestelling wijzigen,104,"90,10%",83
heb-ik-garantie-op-een-tweedekans-product,Garantie en reparatie,Overig,103,"80,90%",64
is-het-nog-steeds-vandaag-besteld-morgen-in-huis,Bezorgen en installeren,,101,"38,10%",26
ik-wil-mijn-adres-wijzigen,Leveren en installeren,Levering wijzigen,101,"78,60%",62
hoe-vraag-ik-een-offerte-aan,Coolblue Zakelijk,Zakelijk bestellen,100,"11,80%",8
wat-als-ik-met-ideal-heb-betaald-maar-nog-geen-orderbevestiging-heb-ontvangen,Betalen,Betaling mislukt of geweigerd,100,"44,50%",40
mijn-bestelling-is-geleverd-maar-ik-heb-niet-alle-producten-ontvangen,Leveren en installeren,Onvolledige of beschadigde bestelling,92,"74,80%",59
hoe-retourneer-ik-mijn-artikelen,Advies en ondersteuning,Hulp bij installatie en gebruik,92,"83,70%",52
wat-is-de-status-van-mijn-retourzending,Ruilen en retourneren,Retour onjuist afgehandeld,92,"114,20%",93
hoe-kan-ik-mijn-zakelijke-factuur-wijzigen,Coolblue Zakelijk,Betalen,89,"56,70%",40
wat-als-heb-betaald-met-bancontact-maar-geen-orderbevestiging-heb-ontvangen,Bestellen,Orderbevestiging niet ontvangen,89,"52,10%",42
wat-als-ik-dubbel-betaald-heb,Betalen,Overig,89,"89,80%",54
welke-bezorgopties-kun-je-kiezen-voor-witgoed-en-keukenapparatuur,Bezorgen en installeren,,87,"40,00%",20
biedt-coolblue-achteraf-betalen-aan,Betalen,Betaalmethodes,86,"49,60%",23
was-passiert-wenn-meine-lieferung-sich-verzoegert,Liefern und installieren,Bestellung verspätet oder nicht geliefert,83,"76,50%",50
wie-lange-habe-ich-garantie-auf-mein-produkt,Garantie und Reparatur,Garantiebedingungen,81,"69,20%",24
mein-produkt-funktioniert-nicht-richtig-was-kann-ich-tun,Beratung und Unterstützung,Sonstiges,80,"62,80%",20
kan-ik-mijn-coolbluetegoed-in-delen-gebruiken,Betalen,Kortingen en tegoeden,78,"20,00%",14
de-betaalstatus-in-mijncoolblue-klopt-niet,,Betaling mislukt of geweigerd,77,"63,70%",45
waar-kan-ik-mijn-factuur-vinden,,Factuur nasturen,76,"31,50%",15
wat-betekent-de-voorraadstatus-nooit-meer-leverbaar,Bestellen,Voorraad van producten,76,"6,20%",2
op-mijn-track--trace-staat-dat-mijn-pakje-bezorgd-is-maar-ik-heb-niks-ontvangen-hoe-kan-dat,Leveren en installeren,Bestelling vertraagd of niet geleverd,76,"102,50%",59
